is_squeezed,energy_level,momentum,fired,timestamp,ticker,name
True,0,-0.633332888285319,False,2026-03-20 00:00:00,3232.TWO,昱捷
True,0,-0.15000009536743164,False,2026-03-20 00:00:00,3276.TWO,宇環
True,0,-0.024999618530273438,False,2026-03-20 00:00:00,3285.TWO,微端
True,0,-0.16666666666666666,False,2026-03-20 00:00:00,3287.TWO,廣寰科
True,0,-0.016666571299235027,False,2026-03-20 00:00:00,3288.TWO,點晶
True,0,-2.0416666666666665,False,2026-03-20 00:00:00,3294.TWO,英濟
True,0,0.6333325703938801,False,2026-03-20 00:00:00,3297.TWO,杭特
True,0,-0.3833338419596354,False,2026-03-20 00:00:00,3303.TWO,岱稜
True,0,-1.9999999999999996,False,2026-03-20 00:00:00,3413.TW,京鼎
True,0,-0.35833374659220374,False,2026-03-20 00:00:00,3419.TW,譁裕
True,0,-0.6000000635782877,False,2026-03-20 00:00:00,3432.TW,台端
True,0,0.8749993642171223,False,2026-03-20 00:00:00,3447.TW,展達
True,0,0.0,False,2026-03-19 00:00:00,3454.TW,晶睿
True,0,-1.900001525878906,False,2026-03-20 00:00:00,3479.TWO,安勤
True,0,0.35833263397216797,False,2026-03-20 00:00:00,3490.TWO,單井
True,0,-0.2066667874654134,False,2026-03-20 00:00:00,3494.TW,誠研
True,0,0.4333330790201823,False,2026-03-20 00:00:00,3512.TWO,皇龍
True,0,-0.0750001271565755,False,2026-03-20 00:00:00,3516.TWO,亞帝歐
True,0,-0.29166666666666663,False,2026-03-20 00:00:00,3520.TWO,華盈
True,0,0.7500000000000007,False,2026-03-20 00:00:00,3526.TWO,凡甲
True,0,-0.11666679382324217,False,2026-03-19 00:00:00,3531.TWO,先益
True,0,-0.6416667302449544,False,2026-03-20 00:00:00,3540.TWO,曜越
True,0,-0.28333218892415357,False,2026-03-20 00:00:00,3543.TW,州巧
True,0,0.9333330790201823,False,2026-03-20 00:00:00,3548.TWO,兆利
True,0,-7.416666666666665,False,2026-03-20 00:00:00,3551.TWO,世禾
True,0,2.4833335876464844,False,2026-03-20 00:00:00,3581.TWO,博磊
True,0,-0.9666665395100912,False,2026-03-20 00:00:00,3623.TWO,富晶通
True,0,-0.53333314259847,False,2026-03-20 00:00:00,3646.TWO,艾恩特
True,0,1.1999994913736978,False,2026-03-20 00:00:00,3669.TW,圓展
True,0,-0.5499998728434244,False,2026-03-20 00:00:00,3672.TWO,康聯訊
True,0,0.75,False,2026-03-20 00:00:00,3679.TW,新至陞
True,0,0.24166679382324216,False,2026-03-20 00:00:00,3703.TW,欣陸
True,0,-0.6666666666666666,False,2026-03-20 00:00:00,3709.TWO,鑫聯大投控
True,0,-3.083333333333333,False,2026-03-20 00:00:00,4107.TWO,邦特
True,0,-0.29166634877522785,False,2026-03-20 00:00:00,4111.TWO,濟生
True,0,0.6833305358886719,False,2026-03-20 00:00:00,4126.TWO,太醫
True,0,-0.7333335876464843,False,2026-03-20 00:00:00,4127.TWO,天良
True,0,0.8416671752929688,False,2026-03-20 00:00:00,4130.TWO,健亞
True,0,-2.1083335876464844,False,2026-03-19 00:00:00,4131.TWO,浩泰
True,0,-3.5,False,2026-03-20 00:00:00,4137.TW,麗豐-KY
True,0,0.04166603088378906,False,2026-03-20 00:00:00,4142.TW,國光生
True,0,-0.44166628519694007,False,2026-03-20 00:00:00,4147.TWO,中裕
True,0,-0.08333333333333331,False,2026-03-20 00:00:00,4163.TWO,鐿鈦
True,0,-0.24166711171468097,False,2026-03-20 00:00:00,4207.TWO,環泰
True,0,0.18333371480305988,False,2026-03-19 00:00:00,4305.TWO,世坤
True,0,-0.16666666666666666,False,2026-03-20 00:00:00,4306.TW,炎洲
True,0,0.1250001589457194,False,2026-03-20 00:00:00,4406.TWO,新昕纖
True,0,0.00833320617675782,False,2026-03-19 00:00:00,4413.TWO,飛寶企業
True,0,-0.950000762939453,False,2026-03-20 00:00:00,4417.TWO,金洲
True,0,1.4999999999999998,False,2026-03-19 00:00:00,4506.TWO,崇友
True,0,0.81666628519694,False,2026-03-20 00:00:00,4527.TWO,方土霖
True,0,-1.3833332061767578,False,2026-03-20 00:00:00,4533.TWO,協易機
True,0,-0.12500031789143878,False,2026-03-20 00:00:00,4538.TWO,大詠城
True,0,-1.2500000000000002,False,2026-03-20 00:00:00,4551.TW,智伸科
True,0,0.03333282470703125,False,2026-03-20 00:00:00,4560.TW,強信-KY
True,0,0.24999999999999972,False,2026-03-20 00:00:00,4576.TW,大銀微系統
True,0,-1.033332824707031,False,2026-03-20 00:00:00,4580.TWO,捷流閥業
True,0,0.15666675567626953,False,2026-03-20 00:00:00,4702.TWO,中美實
True,0,-0.35833311080932617,False,2026-03-20 00:00:00,4716.TWO,大立
True,0,1.4166666666666665,False,2026-03-20 00:00:00,4736.TW,泰博
True,0,-0.5416666666666667,False,2026-03-20 00:00:00,4754.TWO,國碳科
True,0,0.6250003178914387,False,2026-03-20 00:00:00,4767.TWO,誠泰科技
True,0,-5.749999999999999,False,2026-03-20 00:00:00,4772.TWO,台特化
True,0,0.7249997456868489,False,2026-03-20 00:00:00,4903.TWO,聯光通
True,0,-0.450000762939453,False,2026-03-20 00:00:00,4904.TW,遠傳
True,0,-0.2499980926513674,False,2026-03-20 00:00:00,4916.TW,事欣科
True,0,-0.38333320617675776,False,2026-03-20 00:00:00,4924.TWO,欣厚-KY
True,0,0.09166653951009113,False,2026-03-20 00:00:00,4934.TW,太極
True,0,-0.1833333969116211,False,2026-03-20 00:00:00,4943.TW,康控-KY
True,0,0.18333435058593747,False,2026-03-20 00:00:00,4951.TWO,精拓科
True,0,-5.166666666666667,False,2026-03-20 00:00:00,4961.TW,天鈺
True,0,-14.499999999999998,False,2026-03-20 00:00:00,4966.TWO,譜瑞-KY
True,0,-0.699999491373698,False,2026-03-20 00:00:00,4995.TWO,晶達
True,0,-0.6749998728434244,False,2026-03-20 00:00:00,5201.TWO,凱衛
True,0,1.6666666666666665,False,2026-03-20 00:00:00,5209.TWO,新鼎
True,0,-0.10833358764648438,False,2026-03-20 00:00:00,5210.TWO,寶碩
True,0,-8.166666666666666,False,2026-03-20 00:00:00,5222.TW,全訊
True,0,-0.7916676203409829,False,2026-03-20 00:00:00,5223.TWO,安力-KY
True,0,0.5833333333333334,False,2026-03-20 00:00:00,5227.TWO,立凱-KY
True,0,0.9999999999999998,False,2026-03-20 00:00:00,5236.TWO,凌陽創新
True,0,-0.983332316080729,False,2026-03-20 00:00:00,5263.TWO,智崴
True,0,-49.16666666666667,False,2026-03-20 00:00:00,5269.TW,祥碩
True,0,-0.31666692097981763,False,2026-03-20 00:00:00,5276.TWO,達輝-KY
True,0,6.083333333333333,False,2026-03-20 00:00:00,5284.TW,jpp-KY
True,0,-0.4583334922790528,False,2026-03-20 00:00:00,5302.TWO,太欣
True,0,0.04999987284342444,False,2026-03-20 00:00:00,5328.TWO,華容
True,0,5.25,False,2026-03-20 00:00:00,5340.TWO,建榮
True,0,-0.49166663487752266,False,2026-03-20 00:00:00,5344.TWO,立衛
True,0,-1.28333314259847,False,2026-03-20 00:00:00,5381.TWO,合正
True,0,0.75,False,2026-03-20 00:00:00,5403.TWO,中菲
True,0,-0.1333332061767578,False,2026-03-20 00:00:00,5425.TWO,台半
True,0,-3.1666666666666665,False,2026-03-20 00:00:00,5432.TWO,新門
True,0,0.375,False,2026-03-20 00:00:00,5464.TWO,霖宏
True,0,-1.4416669209798176,False,2026-03-20 00:00:00,5471.TW,松翰
True,0,-0.6666660308837891,False,2026-03-20 00:00:00,5481.TWO,新華
